transportation_bureau,prefectures_name,route_name,rc_name,rc_kana,rc_address,lat,lng
近畿,兵庫,加古川線,日岡第二,ひおかだいに,兵庫県加古川市加古川町中津字樋掛388-2,34.770854,134.850095
近畿,兵庫,加古川線,日岡第三,ひおかだいさん,兵庫県加古川市加古川町大野字穴バリ388-2,34.77349074,134.8525032
近畿,兵庫,加古川線,日岡第四,ひおかだいよん,兵庫県加古川市加古川町大野字穴バリ388-2,34.77579868,134.8546208
近畿,兵庫,加古川線,日岡,ひおか,兵庫県加古川市加古川町大野字イトミ203-4,34.77752217,134.8561799
近畿,兵庫,加古川線,大野西,おおのにし,兵庫県加古川市加古川町大野字早瀬1155-3,34.77926162,134.8578001
近畿,兵庫,加古川線,宮ノ下,みやのした,兵庫県加古川市加古川町大野字大町50-2,34.78050569,134.8590729
近畿,兵庫,加古川線,釣橋,つりばし,兵庫県加古川市神野町西ノ山字迎野248-2,34.78550002,134.8664236
近畿,兵庫,加古川線,神野第一,かんのだいいち,兵庫県加古川市神野町神野字茶ノ木1648-3,34.78995541,134.8725488
近畿,兵庫,加古川線,神野第二,かんのだいに,兵庫県加古川市神野町下西条字渡り上り146-3,34.79056709,134.8762811
近畿,兵庫,加古川線,神野駅西,かんのえきにし,兵庫県加古川市神野町西条字中川原610-2,0,0
近畿,兵庫,加古川線,下西条,しもさいじょう,兵庫県加古川市神野町下西条字山崎804-9,0,0
近畿,兵庫,加古川線,神野第三,かんのだいさん,兵庫県加古川市神野町下西条字山崎763,0,0
近畿,兵庫,加古川線,中西条,なかさいじょう,兵庫県加古川市八幡町中西条字城山930-2,0,0
近畿,兵庫,加古川線,平松,ひらまつ,兵庫県加古川市八幡町中西条字岩ノ上906-2,0,0
近畿,兵庫,加古川線,中西条第一,なかさいじょうだいいち,兵庫県加古川市八幡町中西条字古川通り839,0,0
近畿,兵庫,加古川線,中西条第二,なかさいじょうだいに,兵庫県加古川市八幡町中西条字外開719-4,0,0
近畿,兵庫,加古川線,上西条,かみさいじょう,兵庫県加古川市八幡町上西条字開1073-3,0,0
近畿,兵庫,加古川線,船町第二,ふなまちだいに,兵庫県加古川市八幡町船町字辻外165-2,0,0
近畿,兵庫,加古川線,国包,くにかね,兵庫県加古川市上荘町国包字土堤外846,0,0
近畿,兵庫,加古川線,井之口第一,いのくちだいいち,兵庫県加古川市上荘町井之口字南浦434-2,0,0
近畿,兵庫,加古川線,井之口第二,いのくちだいに,兵庫県加古川市上荘町井之口字山茶前312-2,0,0
近畿,兵庫,加古川線,井之口,いのくち,兵庫県加古川市上荘町井之口字堀垣内331-2,0,0
近畿,兵庫,加古川線,井之口第三,いのくちだいさん,兵庫県加古川市上荘町井之口字上条135-2,0,0
近畿,兵庫,加古川線,黍田第一,きびただいいち,兵庫県小野市黍田町黍田字岡ノ垣内537-1,0,0
近畿,兵庫,加古川線,黍田第三,きびただいさん,兵庫県小野市黍田町黍田字屋敷田664-2,0,0
近畿,兵庫,加古川線,黍田第四,きびただいよん,兵庫県小野市下来住町字下野723-2,0,0
