transportation_bureau,prefecture_name,route_name,rc_name,rc_kana,rc_address,lat,lng,kilometer
近畿,兵庫,赤穂線,那波,なば,兵庫県相生市那波字深辺1888-3,34.80691613,134.459379,2.086
近畿,兵庫,赤穂線,浜市第二,はまいちだいに,兵庫県赤穂市坂越字寺内314-2,34.76760893,134.4224782,7.51
近畿,兵庫,赤穂線,砂子,まなご,兵庫県赤穂市坂越字茶木内99-4,34.76696801,134.4150671,8.126
近畿,兵庫,赤穂線,北野中第二,きたのなかだいに,兵庫県赤穂市北野中字瓦師289-2,34.76299062,134.4102288,8.75
近畿,兵庫,赤穂線,北野中第三,きたのなかだいさん,兵庫県赤穂市北野中字新田402-2,34.76077342,134.4075388,9.096
近畿,兵庫,赤穂線,北野中第四,きたのなかだいよん,兵庫県赤穂市南野中字島田166-2,34.76022996,134.4068886,9.182
近畿,兵庫,赤穂線,南野中第一,みなみのなかだいいち,兵庫県赤穂市南野中字島田203-19,34.75926404,134.405638,9.34
近畿,兵庫,赤穂線,南野中第二,みなみのなかだいに,兵庫県赤穂市南野中字島田251-2,34.75794186,134.4032731,9.605
近畿,兵庫,赤穂線,加里屋第一,かりやだいいち,兵庫県赤穂市中広字別所108-11,34.75679994,134.3989379,10.019
近畿,兵庫,赤穂線,加里屋第三,かりやだいさん,兵庫県赤穂市加里屋字中州22-3,34.75669021,134.3965479,10.238
近畿,兵庫,赤穂線,加里屋第四,かりやだいよん,兵庫県赤穂市加里屋字岩453-3,34.7566533,134.3898254,10.852
近畿,兵庫,赤穂線,三ツ樋元第一,みつひもとだいいち,兵庫県赤穂市新田字三ツ樋元999-6,34.75396527,134.3768526,12.104
近畿,兵庫,赤穂線,前田,まえだ,兵庫県赤穂市鷆和字古浜623,34.75060584,134.3551392,14.164
近畿,兵庫,赤穂線,野々内第二,ののうちだいに,兵庫県赤穂市鷆和字野々内1121-3,34.74858943,134.3498589,14.691
近畿,兵庫,赤穂線,野々内第四,ののうちだいよん,兵庫県赤穂市鷆和字野々内1096-4,34.74712334,134.3460293,15.077
近畿,兵庫,赤穂線,野々内第五,ののうちだいご,兵庫県赤穂市鷆和字野々内1079-26,34.7465113,134.3442117,15.258
近畿,兵庫,赤穂線,福浦第一,ふくうらだいいち,兵庫県赤穂市福浦字東木場3103-8,34.7467255,134.3297487,16.586
